"","date","county","fips","hosptot_mean","hosptot_CI95l","hosptot_CI95u","icutot_mean","icutot_CI95l","icutot_CI95u","cummort_mean","cummort_CI95l","cummort_CI95u"
"795","2020-06-12","Marin County",6041,12.4908603675784,12.0045302058345,12.9558116056578,5.18403303664565,5.00195749167387,5.37345562714016,19.2326046793058,18.5626008642158,19.7616140526896
"796","2020-06-13","Marin County",6041,12.7752458965615,12.2861992622935,13.2562234443186,5.30339192066699,5.11409221871249,5.49566888743808,19.6088149214769,18.9319845929214,20.1464165971913
"797","2020-06-14","Marin County",6041,13.0678763819993,12.5607263938918,13.5654024777146,5.42616642383951,5.22939496559142,5.62279401702821,19.9937356353387,19.3102918767852,20.5399439219157
"798","2020-06-15","Marin County",6041,13.3689817557231,12.8429500834087,13.883595837662,5.55245511706853,5.34795600401958,5.75480606066687,20.3876162011144,19.6977845603883,20.9424426807719
"799","2020-06-16","Marin County",6041,13.6787992717504,13.1290550114845,14.2110584179866,5.68235952361885,5.46889273525695,5.89271558193313,20.7907132058953,20.0982246152895,21.3541665618597
"800","2020-06-17","Marin County",6041,13.9975735665166,13.4233471179822,14.5487077247865,5.81598414763981,5.59256838784444,6.03634786784146,21.2032906555545,20.5099130085903,21.7753764940692
"801","2020-06-18","Marin County",6041,14.3255567206076,13.7345273446886,14.8975034682858,5.95343650365078,5.71970858985308,6.17986698404028,21.6256201887608,20.9318860192666,22.2063408556736
"802","2020-06-19","Marin County",6041,14.6630083209511,14.0546605181834,15.252612847246,6.09482714645506,5.85041143795958,6.32707688827651,22.0579812931277,21.3644483026996,22.6433557567372
"803","2020-06-20","Marin County",6041,15.0101955224082,14.383998253767,15.6167879581968,6.24026970095725,5.98477775814633,6.47925010058311,22.5006615234921,21.8079135603209,23.0894410173304
"804","2020-06-21","Marin County",6041,15.367393107689,14.7193293889773,15.9914684976065,6.38988089136286,6.12291113253963,6.63743761563517,22.9539567222822,22.2607493755741,23.552465773613
"805","2020-06-22","Marin County",6041,15.7348835444896,15.0627848814213,16.3769500265446,6.54378056923869,6.2649179258812,6.80045195641293,23.4181712418974,22.7206144465534,24.0287303532578
"806","2020-06-23","Marin County",6041,16.1129570387166,15.4160168458143,16.7735360282887,6.70209173990791,6.41090731118338,6.96859622457564,23.8936181689819,23.1918703714291,24.5190059095644
"807","2020-06-24","Marin County",6041,16.5019115826314,15.7792978731996,17.1817938655822,6.86494058664703,6.56099129411741,7.14168744635255,24.3806195504414,23.6806284602767,25.016246026926
"808","2020-06-25","Marin County",6041,16.9020529967024,16.152907811113,17.6022403406658,7.03245649214063,6.71528473567978,7.31633766627942,24.8795066210082,24.1805436932592,25.525441834768
"809","2020-06-26","Marin County",6041,17.3136949639105,16.5371338029825,18.034790999651,7.2047720566364,6.87390537267462,7.49587410708699,25.3906200321243,24.6931063900376,26.0469325125725
"810","2020-06-27","Marin County",6041,17.7371590551996,16.932270320865,18.4797836813102,7.3820231122262,7.03697383554002,7.68055343137238,25.9143100818699,25.209634658699,26.5810667535733
"811","2020-06-28","Marin County",6041,18.1727747447114,17.3386191903376,18.9375643483823,7.56434873265966,7.20461366303401,7.87052034236252,26.4509369456213,25.7351196493705,27.1282029912394
"812","2020-06-29","Marin County",6041,18.6208794133753,17.7564896063054,19.4084870760513,7.75189123807492,7.37695131328084,8.06592290388307,27.0008709070807,26.2704899602497,27.6887096261718
"813","2020-06-30","Marin County",6041,19.1030225939114,18.2083647389354,19.9134195541429,7.94692779033272,7.55632674668483,8.26895327610362,27.5646603910698,26.8192872142093,28.2631289431849
